model_name,max_len,batch_size,learing_rate,hidden_dim,dropout,user_embedding_dim,freeze_encoder,filter_few_comments_user,augment_dataset,random_state,best_epoch,best_valence_value,best_arousal_value,best_mean_value
roberta-base,128,16,2e-05,128,0.2,0,False,0,0,0,2,0.7063443247566473,0.5734981317725439,0.6399212282645956
roberta-base,128,16,2e-05,128,0.2,0,False,0,3,0,1,0.714437761337918,0.54593659164558,0.630187176491749
roberta-base,128,16,2e-05,128,0.2,0,False,0,6,0,5,0.7033445700371581,0.5000135986194444,0.6016790843283013
roberta-base,128,16,2e-05,128,0.2,0,False,5,0,0,3,0.7881542631562612,0.5762045011551853,0.6821793821557233
roberta-base,128,16,2e-05,128,0.2,0,False,5,3,0,2,0.7389402262733941,0.5066318003821908,0.6227860133277925
roberta-base,128,16,2e-05,128,0.2,0,False,5,6,0,1,0.7580812457546101,0.446941071466024,0.6025111586103171
roberta-base,128,16,2e-05,128,0.2,0,False,10,0,0,2,0.6898044000341975,0.6323190440680545,0.661061722051126
roberta-base,128,16,2e-05,128,0.2,0,False,10,3,0,1,0.7102727565694005,0.5103322237060428,0.6103024901377216
roberta-base,128,16,2e-05,128,0.2,0,False,10,6,0,4,0.6977540007967864,0.5359875509073974,0.6168707758520919
roberta-base,128,16,2e-05,128,0.2,0,False,0,0,100,7,0.6278716738394046,0.44817311810739124,0.5380223959733978
roberta-base,128,16,2e-05,128,0.2,0,False,0,3,100,1,0.5826266723770909,0.3330506331159971,0.457838652746544
roberta-base,128,16,2e-05,128,0.2,0,False,0,6,100,7,0.5557629847841989,0.4237916113901111,0.48977729808715503
roberta-base,128,16,2e-05,128,0.2,0,False,5,0,100,2,0.6892824157760129,0.5308142398710634,0.6100483278235381
roberta-base,128,16,2e-05,128,0.2,0,False,5,3,100,4,0.6877763045104034,0.423506508552509,0.5556414065314562
roberta-base,128,16,2e-05,128,0.2,0,False,5,6,100,2,0.6433418754772497,0.36599481616434887,0.5046683458207993
roberta-base,128,16,2e-05,128,0.2,0,False,10,0,100,3,0.77139297681691,0.5202140637386196,0.6458035202777648
roberta-base,128,16,2e-05,128,0.2,0,False,10,3,100,2,0.7517531353968522,0.5013331670489587,0.6265431512229054
roberta-base,128,16,2e-05,128,0.2,0,False,10,6,100,2,0.7240707285897389,0.47760196624318174,0.6008363474164603
roberta-base,128,16,2e-05,128,0.2,0,False,0,0,200,2,0.6111950127561537,0.43800962399141913,0.5246023183737865
roberta-base,128,16,2e-05,128,0.2,0,False,0,3,200,1,0.5429811338166416,0.4348727159134978,0.4889269248650697
roberta-base,128,16,2e-05,128,0.2,0,False,0,6,200,4,0.5341149858220868,0.37831568804122956,0.45621533693165817
roberta-base,128,16,2e-05,128,0.2,0,False,5,0,200,5,0.6506028801874585,0.46142806270251274,0.5560154714449856
roberta-base,128,16,2e-05,128,0.2,0,False,5,3,200,1,0.6827172242248737,0.4764851519965805,0.579601188110727
roberta-base,128,16,2e-05,128,0.2,0,False,5,6,200,2,0.6014187769071174,0.3785513800969823,0.48998507850204986
roberta-base,128,16,2e-05,128,0.2,0,False,10,0,200,9,0.7442279059991507,0.5317005696833752,0.6379642378412629
roberta-base,128,16,2e-05,128,0.2,0,False,10,3,200,2,0.7089743622061524,0.5673927509433775,0.6381835565747649
roberta-base,128,16,2e-05,128,0.2,0,False,10,6,200,1,0.7148530003131416,0.5586501550006389,0.6367515776568902
roberta-base,128,16,2e-05,128,0.2,0,False,0,0,300,2,0.7412876776991083,0.5585006847387414,0.6498941812189248
roberta-base,128,16,2e-05,128,0.2,0,False,0,3,300,1,0.6982324621317414,0.6385171799816227,0.668374821056682
roberta-base,128,16,2e-05,128,0.2,0,False,0,6,300,2,0.7129310617033825,0.5327602247445907,0.6228456432239866
roberta-base,128,16,2e-05,128,0.2,0,False,5,0,300,3,0.7110184533241614,0.5262022620402685,0.618610357682215
roberta-base,128,16,2e-05,128,0.2,0,False,5,3,300,2,0.7839897982797357,0.510908206172015,0.6474490022258754
roberta-base,128,16,2e-05,128,0.2,0,False,5,6,300,1,0.73272607691762,0.45861483635594136,0.5956704566367808
roberta-base,128,16,2e-05,128,0.2,0,False,10,0,300,4,0.7025782977165815,0.5173555924938799,0.6099669451052308
