model_name,max_len,batch_size,learing_rate,hidden_dim,dropout,user_embedding_dim,freeze_encoder,filter_few_comments_user,augment_dataset,random_state,best_epoch,best_valence_value,best_arousal_value,best_mean_value,best_valence_mae,best_arousal_mae,best_mean_mae
cardiffnlp/twitter-roberta-base-emotion,128,16,2e-05,128,0.2,0,False,0,0,0,1,0.7172692,0.5927469,0.6550081,0.64483845,0.4627746,0.55380654
cardiffnlp/twitter-roberta-base-emotion,128,16,2e-05,128,0.2,0,False,0,0,100,7,0.66661066,0.42256686,0.54458874,0.69139683,0.48121196,0.5863044
cardiffnlp/twitter-roberta-base-emotion,128,16,2e-05,128,0.2,0,False,0,0,200,1,0.5882824,0.41253218,0.5004073,0.7632915,0.4902501,0.6267708
cardiffnlp/twitter-roberta-base-emotion,128,16,2e-05,128,0.2,0,False,0,0,300,5,0.773707,0.5781847,0.6759459,0.62715566,0.39015684,0.50865626

SamLowe/roberta-base-go_emotions,128,16,2e-05,128,0.2,0,False,0,0,0,7,0.73166364,0.64769924,0.6896814,0.59418154,0.453618,0.5238998
SamLowe/roberta-base-go_emotions,128,16,2e-05,128,0.2,0,False,0,0,100,7,0.60004157,0.42594302,0.51299226,0.67328286,0.44866067,0.56097174
SamLowe/roberta-base-go_emotions,128,16,2e-05,128,0.2,0,False,0,0,200,2,0.6046513,0.44848412,0.5265677,0.7478192,0.4634381,0.6056286
SamLowe/roberta-base-go_emotions,128,16,2e-05,128,0.2,0,False,0,0,300,5,0.7160844,0.59091604,0.6535002,0.6364522,0.3951918,0.515822

roberta-base,128,16,2e-05,128,0.2,0,False,0,0,0,2,0.7063443,0.57349813,0.6399212,0.59297884,0.4353908,0.51418483
roberta-base,128,16,2e-05,128,0.2,0,False,0,0,100,7,0.6278717,0.44817314,0.5380224,0.71593463,0.48155966,0.59874713
roberta-base,128,16,2e-05,128,0.2,0,False,0,0,200,2,0.611195,0.4380096,0.5246023,0.78075695,0.5020944,0.64142567
roberta-base,128,16,2e-05,128,0.2,0,False,0,0,300,2,0.74128765,0.55850065,0.6498941,0.66479635,0.41521338,0.54000485

SamLowe/roberta-base-go_emotions,128,16,2e-05,128,0.2,32,False,0,0,0,2,0.69018346,0.5859028,0.63804317,0.6325856,0.44289988,0.53774273
SamLowe/roberta-base-go_emotions,128,16,2e-05,128,0.2,32,False,0,0,100,6,0.6399889,0.4778693,0.5589291,0.74555194,0.48579767,0.6156748
SamLowe/roberta-base-go_emotions,128,16,2e-05,128,0.2,32,False,0,0,200,2,0.6012775,0.5017374,0.5515075,0.76877457,0.44690758,0.6078411
SamLowe/roberta-base-go_emotions,128,16,2e-05,128,0.2,32,False,0,0,300,1,0.66642267,0.6323035,0.64936304,0.7149372,0.419198,0.5670676

SamLowe/roberta-base-go_emotions,128,16,2e-05,128,0.2,32,False,10,0,0,9,0.71100134,0.5725814,0.64179134,0.5893221,0.4233424,0.5063323
SamLowe/roberta-base-go_emotions,128,16,2e-05,128,0.2,32,False,10,0,100,4,0.83140403,0.4953552,0.6633796,0.5422903,0.40828037,0.47528532
SamLowe/roberta-base-go_emotions,128,16,2e-05,128,0.2,32,False,10,0,200,4,0.68600905,0.5745159,0.6302625,0.6430068,0.3791481,0.51107746
SamLowe/roberta-base-go_emotions,128,16,2e-05,128,0.2,32,False,10,0,300,3,0.6948606,0.5690178,0.6319392,0.627915,0.44515932,0.5365372

SamLowe/roberta-base-go_emotions,128,16,2e-05,128,0.2,0,False,0,3,0,3,0.7183165,0.5823179,0.6503172,0.63279593,0.47885317,0.5558245
SamLowe/roberta-base-go_emotions,128,16,2e-05,128,0.2,0,False,0,3,100,2,0.54450023,0.41198775,0.478244,0.7507452,0.4901772,0.6204612
SamLowe/roberta-base-go_emotions,128,16,2e-05,128,0.2,0,False,0,3,200,4,0.6211479,0.3881387,0.5046433,0.70752585,0.47255254,0.5900392
SamLowe/roberta-base-go_emotions,128,16,2e-05,128,0.2,0,False,0,3,300,1,0.67483854,0.60068053,0.63775957,0.6327063,0.39976054,0.51623344

SamLowe/roberta-base-go_emotions,128,16,2e-05,128,0.2,32,False,10,3,0,2,0.6621891,0.6016367,0.63191295,0.6534109,0.45474365,0.55407727
SamLowe/roberta-base-go_emotions,128,16,2e-05,128,0.2,32,False,10,3,100,1,0.71067274,0.38992923,0.55030096,0.6046475,0.4527325,0.52869
SamLowe/roberta-base-go_emotions,128,16,2e-05,128,0.2,32,False,10,3,200,1,0.714727,0.56298834,0.63885766,0.60191774,0.41218463,0.50705117
SamLowe/roberta-base-go_emotions,128,16,2e-05,128,0.2,32,False,10,3,300,1,0.6968806,0.4662611,0.58157086,0.6592821,0.46010062,0.55969137
